时间,code,name,操作,price,数量,金额,状态
2021-11-22 11:56:21,688036,传音控股,买入,174.99,100,0,
2021-11-22 11:57:06,688036,传音控股,买入,174.99,100,0,
2021-11-22 15:09:23,688036,传音控股,买入,172.85,100,0,
2021-11-22 15:10:56,688036,传音控股,买入,172.85,100,0,
2021-11-22 15:11:40,688036,传音控股,买入,172.85,100,0,
2021-11-22 15:12:08,688036,传音控股,买入,172.85,100,0,
2021-11-22 15:13:49,688036,传音控股,买入,172.85,100,0,
2021-11-22 15:16:58,688036,传音控股,买入,172.85,100,0,
2021-11-22 15:53:22,688036,传音控股,卖出,172.85,100,0,
2021-11-22 15:54:13,600549,厦门钨业,卖出,24.57,100,0,
2021-11-22 15:58:27,688036,传音控股,卖出,172.85,10,0,
2021-11-22 16:01:07,301050,雷电微力,卖出,287.3,10,0,
2021-11-22 16:01:55,600406,国电南瑞,卖出,40.12,10,0,
2021-11-22 16:06:39,600406,国电南瑞,卖出,40.12,10,0,
2021-11-22 16:10:05,600346,恒力石化,卖出,22.09,100,0,
2021-11-22 16:10:39,600346,恒力石化,卖出,22.09,100,0,
2021-11-22 17:31:33,300474,景嘉微,买入,201.59,100,0,
2021-11-22 17:34:37,688036,传音控股,买入,100.0,100,0,
2021-11-22 17:38:24,003031,中瓷电子,买入,81.780,100,0,
